tool,number_nodes,trial,time
schema-analyst,4,1,153755
schema-analyst,4,2,138035
schema-analyst,4,3,150007
schema-analyst,4,4,159435
schema-analyst,4,5,152664
schema-analyst,3,1,143639
schema-analyst,3,2,132070
schema-analyst,3,3,139330
schema-analyst,3,4,131438
schema-analyst,3,5,114332
schema-analyst,2,1,109954
schema-analyst,2,2,105859
schema-analyst,2,3,107833
schema-analyst,2,4,107678
schema-analyst,2,5,104399
schema-analyst,1,1,134865
schema-analyst,1,2,142017
schema-analyst,1,3,186619
schema-analyst,1,4,172291
schema-analyst,1,5,142197
