tool,number_nodes,trial,time
ant-ivy,3,1,381
ant-ivy,3,2,288
ant-ivy,3,3,284
ant-ivy,3,4,285
ant-ivy,3,5,303
ant-ivy,2,1,270
ant-ivy,2,2,287
ant-ivy,2,3,275
ant-ivy,2,4,277
ant-ivy,2,5,281
ant-ivy,1,1,338
ant-ivy,1,2,399
ant-ivy,1,3,380
ant-ivy,1,4,372
ant-ivy,1,5,375
schema-analyst,3,1,34
schema-analyst,3,2,34
schema-analyst,3,3,40
schema-analyst,3,4,34
schema-analyst,3,5,35
schema-analyst,2,1,8
schema-analyst,2,2,8
schema-analyst,2,3,10
schema-analyst,2,4,8
schema-analyst,2,5,8
schema-analyst,1,1,14
schema-analyst,1,2,13
schema-analyst,1,3,16
schema-analyst,1,4,13
schema-analyst,1,5,14
